Artur Aleksanyan,20,2012,8/12/12,Wrestling,0,0,1,1
Arsen Julfalakyan,25,2012,8/12/12,Wrestling,0,1,0,1
Roman Amoyan,24,2008,8/24/08,Wrestling,0,0,1,1
Yury Patrikeyev,28,2008,8/24/08,Wrestling,0,0,1,1
Hripsime Khurshudyan,25,2012,8/12/12,Weightlifting,0,0,1,1
Gevorg Davtyan,25,2008,8/24/08,Weightlifting,0,0,1,1
Tigran G. Martirosyan,20,2008,8/24/08,Weightlifting,0,0,1,1
Tigran V. Martirosyan,25,2008,8/24/08,Weightlifting,0,0,1,1
Arsen Melikyan,24,2000,10/1/00,Weightlifting,0,0,1,1
Hrachik Javakhyan,24,2008,8/24/08,Boxing,0,0,1,1
