Evgeniya Radanova,24,2002,2/24/02,Short-Track Speed Skating,0,1,1,2
Mariya Grozdeva,32,2004,8/29/04,Shooting,1,0,1,2
Yordan Yovchev,31,2004,8/29/04,Gymnastics,0,1,1,2
Yordan Yovchev,27,2000,10/1/00,Gymnastics,0,0,2,2
Petar Merkov,23,2000,10/1/00,Canoeing,0,2,0,2
Stanka Zlateva,29,2012,8/12/12,Wrestling,0,1,0,1
Kiril Terziev,24,2008,8/24/08,Wrestling,0,0,1,1
Radoslav Velikov,24,2008,8/24/08,Wrestling,0,0,1,1
Yavor Yanakiev,23,2008,8/24/08,Wrestling,0,0,1,1
Stanka Zlateva,25,2008,8/24/08,Wrestling,0,1,0,1
Armen Nazaryan,30,2004,8/29/04,Wrestling,0,0,1,1
Serafim Barzakov,25,2000,10/1/00,Wrestling,0,1,0,1
Armen Nazaryan,26,2000,10/1/00,Wrestling,1,0,0,1
Veliçko Çolakov,22,2004,8/29/04,Weightlifting,0,0,1,1
Milen Dobrev,24,2004,8/29/04,Weightlifting,1,0,0,1
Galabin Boevski,25,2000,10/1/00,Weightlifting,1,0,0,1
Georgi Markov,22,2000,10/1/00,Weightlifting,0,1,0,1
Alan Tsagaev,23,2000,10/1/00,Weightlifting,0,1,0,1
Evgeniya Radanova,28,2006,2/26/06,Short-Track Speed Skating,0,1,0,1
Mariya Grozdeva,28,2000,10/1/00,Shooting,1,0,0,1
Tanyu Kiryakov,37,2000,10/1/00,Shooting,1,0,0,1
Rumyana Dzhadzharova-Neykova,35,2008,8/24/08,Rowing,1,0,0,1
Rumyana Dzhadzharova-Neykova,31,2004,8/29/04,Rowing,0,0,1,1
Ivo Yanakiev,28,2004,8/29/04,Rowing,0,0,1,1
Rumyana Dzhadzharova-Neykova,27,2000,10/1/00,Rowing,0,1,0,1
Zhaneta Ilieva,19,2004,8/29/04,Rhythmic Gymnastics,0,0,1,1
Ele?nora Kezhova,18,2004,8/29/04,Rhythmic Gymnastics,0,0,1,1
Zornitsa Marinova,17,2004,8/29/04,Rhythmic Gymnastics,0,0,1,1
Kristina Rangelova,19,2004,8/29/04,Rhythmic Gymnastics,0,0,1,1
Galina Tancheva,17,2004,8/29/04,Rhythmic Gymnastics,0,0,1,1
Vladislava Tancheva,17,2004,8/29/04,Rhythmic Gymnastics,0,0,1,1
Georgi Georgiev,28,2004,8/29/04,Judo,0,0,1,1
Tervel Pulev,29,2012,8/12/12,Boxing,0,0,1,1
Boris Georgiev,21,2004,8/29/04,Boxing,0,0,1,1
Irina Nikulchina,27,2002,2/24/02,Biathlon,0,0,1,1
Tereza Marinova,23,2000,10/1/00,Athletics,1,0,0,1
