Chris Hoy,32,2008,8/24/08,Cycling,3,0,0,3
Bradley Wiggins,24,2004,8/29/04,Cycling,1,1,1,3
Andy Murray,25,2012,8/12/12,Tennis,1,1,0,2
Becky Adlington,23,2012,8/12/12,Swimming,0,0,2,2
Becky Adlington,19,2008,8/24/08,Swimming,2,0,0,2
Louis Smith,23,2012,8/12/12,Gymnastics,0,1,1,2
Max Whitlock,19,2012,8/12/12,Gymnastics,0,0,2,2
Laura Bechtolsheimer,27,2012,8/12/12,Equestrian,1,0,1,2
Charlotte Dujardin,27,2012,8/12/12,Equestrian,2,0,0,2
Tina Cook,37,2008,8/24/08,Equestrian,0,0,2,2
Pippa Funnell,35,2004,8/29/04,Equestrian,0,1,1,2
Leslie Law,39,2004,8/29/04,Equestrian,1,1,0,2
Ed Clancy,27,2012,8/12/12,Cycling,1,0,1,2
Chris Hoy,36,2012,8/12/12,Cycling,2,0,0,2
Jason Kenny,24,2012,8/12/12,Cycling,2,0,0,2
Vicki Pendleton,31,2012,8/12/12,Cycling,1,1,0,2
Laura Trott,20,2012,8/12/12,Cycling,2,0,0,2
Jason Kenny,20,2008,8/24/08,Cycling,1,1,0,2
Bradley Wiggins,28,2008,8/24/08,Cycling,2,0,0,2
Rob Hayles,31,2004,8/29/04,Cycling,0,1,1,2
Jason Queally,30,2000,10/1/00,Cycling,1,1,0,2
Tim Brabants,31,2008,8/24/08,Canoeing,1,0,1,2
Mo Farah,29,2012,8/12/12,Athletics,2,0,0,2
Kelly Holmes,34,2004,8/29/04,Athletics,2,0,0,2
Alistair Brownlee,24,2012,8/12/12,Triathlon,1,0,0,1
Jonny Brownlee,22,2012,8/12/12,Triathlon,0,0,1,1
Jade Jones,19,2012,8/12/12,Taekwondo,1,0,0,1
Lutalo Muhammad,21,2012,8/12/12,Taekwondo,0,0,1,1
Sarah Stevenson,25,2008,8/24/08,Taekwondo,0,0,1,1
Laura Robson,18,2012,8/12/12,Tennis,0,1,0,1
Michael Jamieson,23,2012,8/12/12,Swimming,0,1,0,1
Dave Davies,23,2008,8/24/08,Swimming,0,1,0,1
Jo Jackson,21,2008,8/24/08,Swimming,0,0,1,1
Cassie Patten,21,2008,8/24/08,Swimming,0,0,1,1
Keri-Anne Payne,20,2008,8/24/08,Swimming,0,1,0,1
Dave Davies,19,2004,8/29/04,Swimming,0,0,1,1
Steve Parry,27,2004,8/29/04,Swimming,0,0,1,1
Amy Williams,27,2010,2/28/10,Skeleton,1,0,0,1
Shelley Rudman,24,2006,2/26/06,Skeleton,0,1,0,1
Alex Coomber,28,2002,2/24/02,Skeleton,0,0,1,1
Peter Wilson,25,2012,8/12/12,Shooting,1,0,0,1
Richard Faulds,23,2000,10/1/00,Shooting,1,0,0,1
Ian Peel,42,2000,10/1/00,Shooting,0,1,0,1
Ben Ainslie,35,2012,8/12/12,Sailing,1,0,0,1
Stuart Bithell,25,2012,8/12/12,Sailing,0,1,0,1
Saskia Clark,32,2012,8/12/12,Sailing,0,1,0,1
Nick Dempsey,31,2012,8/12/12,Sailing,0,1,0,1
Hannah Mills,24,2012,8/12/12,Sailing,0,1,0,1
Luke Patience,25,2012,8/12/12,Sailing,0,1,0,1
Iain Percy,36,2012,8/12/12,Sailing,0,1,0,1
Andrew Simpson,35,2012,8/12/12,Sailing,0,1,0,1
Ben Ainslie,31,2008,8/24/08,Sailing,1,0,0,1
Sarah Ayton,28,2008,8/24/08,Sailing,1,0,0,1
Joe Glanfield,29,2008,8/24/08,Sailing,0,1,0,1
Paul Goodison,30,2008,8/24/08,Sailing,1,0,0,1
Iain Percy,32,2008,8/24/08,Sailing,1,0,0,1
Nick Rogers,31,2008,8/24/08,Sailing,0,1,0,1
Bryony Shaw,25,2008,8/24/08,Sailing,0,0,1,1
Andrew Simpson,31,2008,8/24/08,Sailing,1,0,0,1
Sarah Webb,31,2008,8/24/08,Sailing,1,0,0,1
Pippa Wilson,22,2008,8/24/08,Sailing,1,0,0,1
Ben Ainslie,27,2004,8/29/04,Sailing,1,0,0,1
Sarah Ayton,24,2004,8/29/04,Sailing,1,0,0,1
Nick Dempsey,24,2004,8/29/04,Sailing,0,0,1,1
Chris Draper,26,2004,8/29/04,Sailing,0,0,1,1
Joe Glanfield,25,2004,8/29/04,Sailing,0,1,0,1
Simon Hiscocks,31,2004,8/29/04,Sailing,0,0,1,1
Shirley Robertson,36,2004,8/29/04,Sailing,1,0,0,1
Nick Rogers,27,2004,8/29/04,Sailing,0,1,0,1
Sarah Webb,27,2004,8/29/04,Sailing,1,0,0,1
Ben Ainslie,23,2000,10/1/00,Sailing,1,0,0,1
Ian Barker,34,2000,10/1/00,Sailing,0,1,0,1
Mark Covell,32,2000,10/1/00,Sailing,0,1,0,1
Simon Hiscocks,27,2000,10/1/00,Sailing,0,1,0,1
Iain Percy,24,2000,10/1/00,Sailing,1,0,0,1
Shirley Robertson,32,2000,10/1/00,Sailing,1,0,0,1
Ian Walker,30,2000,10/1/00,Sailing,0,1,0,1
Chris Bartley,28,2012,8/12/12,Rowing,0,1,0,1
Anna Bebington-Watkins,29,2012,8/12/12,Rowing,1,0,0,1
Alan Campbell,29,2012,8/12/12,Rowing,0,0,1,1
Peter Chambers,22,2012,8/12/12,Rowing,0,1,0,1
Richard Chambers,27,2012,8/12/12,Rowing,0,1,0,1
Kat Copeland,21,2012,8/12/12,Rowing,1,0,0,1
Ric Egington,33,2012,8/12/12,Rowing,0,0,1,1
James Foad,25,2012,8/12/12,Rowing,0,0,1,1
Helen Glover,26,2012,8/12/12,Rowing,1,0,0,1
Katherine Grainger,36,2012,8/12/12,Rowing,1,0,0,1
Alex Gregory,28,2012,8/12/12,Rowing,1,0,0,1
Phelan Hill,33,2012,8/12/12,Rowing,0,0,1,1
Sophie Hosking,26,2012,8/12/12,Rowing,1,0,0,1
Mark Hunter,34,2012,8/12/12,Rowing,0,1,0,1
Tom James,28,2012,8/12/12,Rowing,1,0,0,1
Matt Langridge,29,2012,8/12/12,Rowing,0,0,1,1
Constantine Louloudis,20,2012,8/12/12,Rowing,0,0,1,1
George Nash,22,2012,8/12/12,Rowing,0,0,1,1
Alex Partridge,31,2012,8/12/12,Rowing,0,0,1,1
Zac Purchase,26,2012,8/12/12,Rowing,0,1,0,1
Tom Ransley,26,2012,8/12/12,Rowing,0,0,1,1
Pete Reed,31,2012,8/12/12,Rowing,1,0,0,1
Will Satch,23,2012,8/12/12,Rowing,0,0,1,1
Moe Sbihi,24,2012,8/12/12,Rowing,0,0,1,1
Greg Searle,40,2012,8/12/12,Rowing,0,0,1,1
Heather Stanning,27,2012,8/12/12,Rowing,1,0,0,1
Andrew Triggs Hodge,33,2012,8/12/12,Rowing,1,0,0,1
Rob Williams,27,2012,8/12/12,Rowing,0,1,0,1
Anna Bebington-Watkins,25,2008,8/24/08,Rowing,0,0,1,1
Ric Egington,29,2008,8/24/08,Rowing,0,1,0,1
Debbie Flood,28,2008,8/24/08,Rowing,0,1,0,1
Katherine Grainger,32,2008,8/24/08,Rowing,0,1,0,1
Alastair Heathcote,30,2008,8/24/08,Rowing,0,1,0,1
Frances Houghton,27,2008,8/24/08,Rowing,0,1,0,1
Mark Hunter,30,2008,8/24/08,Rowing,1,0,0,1
Tom James,24,2008,8/24/08,Rowing,1,0,0,1
Matt Langridge,25,2008,8/24/08,Rowing,0,1,0,1
Elise Laverick,33,2008,8/24/08,Rowing,0,0,1,1
Tom Lucy,20,2008,8/24/08,Rowing,0,1,0,1
Acer Nethercott,30,2008,8/24/08,Rowing,0,1,0,1
Alex Partridge,27,2008,8/24/08,Rowing,0,1,0,1
Zac Purchase,22,2008,8/24/08,Rowing,1,0,0,1
Pete Reed,27,2008,8/24/08,Rowing,1,0,0,1
Stephen Rowbotham,26,2008,8/24/08,Rowing,0,0,1,1
Colin Smith,24,2008,8/24/08,Rowing,0,1,0,1
Tom Stallard,29,2008,8/24/08,Rowing,0,1,0,1
Andrew Triggs Hodge,29,2008,8/24/08,Rowing,1,0,0,1
Annie Vernon,25,2008,8/24/08,Rowing,0,1,0,1
Matt Wells,28,2008,8/24/08,Rowing,0,0,1,1
Josh West,31,2008,8/24/08,Rowing,0,1,0,1
Steve Williams,32,2008,8/24/08,Rowing,1,0,0,1
Cath Bishop,32,2004,8/29/04,Rowing,0,1,0,1
Ed Coode,29,2004,8/29/04,Rowing,1,0,0,1
James Cracknell,32,2004,8/29/04,Rowing,1,0,0,1
Debbie Flood,24,2004,8/29/04,Rowing,0,1,0,1
Katherine Grainger,28,2004,8/29/04,Rowing,0,1,0,1
Frances Houghton,23,2004,8/29/04,Rowing,0,1,0,1
Elise Laverick,29,2004,8/29/04,Rowing,0,0,1,1
Alison Mowbray,33,2004,8/29/04,Rowing,0,1,0,1
Matthew Pinsent,33,2004,8/29/04,Rowing,1,0,0,1
Rebecca Romero,24,2004,8/29/04,Rowing,0,1,0,1
Steve Williams,28,2004,8/29/04,Rowing,1,0,0,1
Sarah Winckless,30,2004,8/29/04,Rowing,0,0,1,1
Louis Attrill,25,2000,10/1/00,Rowing,1,0,0,1
Guin Batten,32,2000,10/1/00,Rowing,0,1,0,1
Miriam Batten,35,2000,10/1/00,Rowing,0,1,0,1
James Cracknell,28,2000,10/1/00,Rowing,1,0,0,1
Simon Dennis,24,2000,10/1/00,Rowing,1,0,0,1
Rowley Douglas,23,2000,10/1/00,Rowing,1,0,0,1
Tim Foster,30,2000,10/1/00,Rowing,1,0,0,1
Katherine Grainger,24,2000,10/1/00,Rowing,0,1,0,1
Luka Grubor,26,2000,10/1/00,Rowing,1,0,0,1
Ben Hunt-Davis,28,2000,10/1/00,Rowing,1,0,0,1
Andrew Lindsay,23,2000,10/1/00,Rowing,1,0,0,1
Gillian Lindsay,26,2000,10/1/00,Rowing,0,1,0,1
Matthew Pinsent,29,2000,10/1/00,Rowing,1,0,0,1
Steven Redgrave,38,2000,10/1/00,Rowing,1,0,0,1
Fred Scarlett,25,2000,10/1/00,Rowing,1,0,0,1
Steve Trapmore,25,2000,10/1/00,Rowing,1,0,0,1
Kieran West,23,2000,10/1/00,Rowing,1,0,0,1
Samantha Murray,22,2012,8/12/12,Modern Pentathlon,0,1,0,1
Heather Fell,25,2008,8/24/08,Modern Pentathlon,0,1,0,1
Georgina Harland,26,2004,8/29/04,Modern Pentathlon,0,0,1,1
Kate Allenby,26,2000,10/1/00,Modern Pentathlon,0,0,1,1
Steph Cook,28,2000,10/1/00,Modern Pentathlon,1,0,0,1
Karina Bryant,33,2012,8/12/12,Judo,0,0,1,1
Gemma Gibbons,25,2012,8/12/12,Judo,0,1,0,1
Kate Howey,27,2000,10/1/00,Judo,0,1,0,1
Ashleigh Ball,26,2012,8/12/12,Hockey,0,0,1,1
Laura Bartlett,24,2012,8/12/12,Hockey,0,0,1,1
Crista Cullen,26,2012,8/12/12,Hockey,0,0,1,1
Alex Danson,27,2012,8/12/12,Hockey,0,0,1,1
Hannah Macleod,28,2012,8/12/12,Hockey,0,0,1,1
Emily Maguire,24,2012,8/12/12,Hockey,0,0,1,1
Ann Panter,28,2012,8/12/12,Hockey,0,0,1,1
Helen Richardson,30,2012,8/12/12,Hockey,0,0,1,1
Chloe Rogers,27,2012,8/12/12,Hockey,0,0,1,1
Beth Storry,34,2012,8/12/12,Hockey,0,0,1,1
Sarah Thomas,31,2012,8/12/12,Hockey,0,0,1,1
Georgie Twigg,21,2012,8/12/12,Hockey,0,0,1,1
Laura Unsworth,24,2012,8/12/12,Hockey,0,0,1,1
Kate Walsh,32,2012,8/12/12,Hockey,0,0,1,1
Sally Walton,31,2012,8/12/12,Hockey,0,0,1,1
Nicola White,24,2012,8/12/12,Hockey,0,0,1,1
Sam Oldham,19,2012,8/12/12,Gymnastics,0,0,1,1
Daniel Purvis,21,2012,8/12/12,Gymnastics,0,0,1,1
Kristian Thomas,23,2012,8/12/12,Gymnastics,0,0,1,1
Beth Tweddle,27,2012,8/12/12,Gymnastics,0,0,1,1
Louis Smith,19,2008,8/24/08,Gymnastics,0,0,1,1
Scott Brash,26,2012,8/12/12,Equestrian,1,0,0,1
Peter Charles,52,2012,8/12/12,Equestrian,1,0,0,1
Tina Cook,41,2012,8/12/12,Equestrian,0,1,0,1
William Fox-Pitt,43,2012,8/12/12,Equestrian,0,1,0,1
Carl Hester,45,2012,8/12/12,Equestrian,1,0,0,1
Ben Maher,29,2012,8/12/12,Equestrian,1,0,0,1
Zara Phillips,31,2012,8/12/12,Equestrian,0,1,0,1
Nick Skelton,54,2012,8/12/12,Equestrian,1,0,0,1
Mary Thomson-King,51,2012,8/12/12,Equestrian,0,1,0,1
Nicola Wilson,35,2012,8/12/12,Equestrian,0,1,0,1
Daisy Dick,36,2008,8/24/08,Equestrian,0,0,1,1
William Fox-Pitt,39,2008,8/24/08,Equestrian,0,0,1,1
Sharon Hunt,30,2008,8/24/08,Equestrian,0,0,1,1
Mary Thomson-King,47,2008,8/24/08,Equestrian,0,0,1,1
Jeanette Brakewell,30,2004,8/29/04,Equestrian,0,1,0,1
William Fox-Pitt,35,2004,8/29/04,Equestrian,0,1,0,1
Mary Thomson-King,43,2004,8/29/04,Equestrian,0,1,0,1
Jeanette Brakewell,26,2000,10/1/00,Equestrian,0,1,0,1
Pippa Funnell,31,2000,10/1/00,Equestrian,0,1,0,1
Leslie Law,35,2000,10/1/00,Equestrian,0,1,0,1
Ian Stark,46,2000,10/1/00,Equestrian,0,1,0,1
Tom Daley,18,2012,8/12/12,Diving,0,0,1,1
Leon Taylor,26,2004,8/29/04,Diving,0,1,0,1
Peter Waterfield,23,2004,8/29/04,Diving,0,1,0,1
Lizzie Armitstead,23,2012,8/12/12,Cycling,0,1,0,1
Steven Burke,24,2012,8/12/12,Cycling,1,0,0,1
Chris Froome,27,2012,8/12/12,Cycling,0,0,1,1
Philip Hindes,19,2012,8/12/12,Cycling,1,0,0,1
Peter Kennaugh,23,2012,8/12/12,Cycling,1,0,0,1
Dani King,21,2012,8/12/12,Cycling,1,0,0,1
Joanna Rowsell,23,2012,8/12/12,Cycling,1,0,0,1
Geraint Thomas,26,2012,8/12/12,Cycling,1,0,0,1
Bradley Wiggins,32,2012,8/12/12,Cycling,1,0,0,1
Steven Burke,20,2008,8/24/08,Cycling,0,0,1,1
Ed Clancy,23,2008,8/24/08,Cycling,1,0,0,1
Nicole Cooke,25,2008,8/24/08,Cycling,1,0,0,1
Ross Edgar,25,2008,8/24/08,Cycling,0,1,0,1
Wendy Houvenaghel,33,2008,8/24/08,Cycling,0,1,0,1
Paul Manning,33,2008,8/24/08,Cycling,1,0,0,1
Chris Newton,34,2008,8/24/08,Cycling,0,0,1,1
Vicki Pendleton,27,2008,8/24/08,Cycling,1,0,0,1
Emma Pooley,25,2008,8/24/08,Cycling,0,1,0,1
Rebecca Romero,28,2008,8/24/08,Cycling,1,0,0,1
Jamie Staff,35,2008,8/24/08,Cycling,1,0,0,1
Geraint Thomas,22,2008,8/24/08,Cycling,1,0,0,1
Steve Cummings,23,2004,8/29/04,Cycling,0,1,0,1
Chris Hoy,28,2004,8/29/04,Cycling,1,0,0,1
Paul Manning,29,2004,8/29/04,Cycling,0,1,0,1
Chris Newton,30,2004,8/29/04,Cycling,0,1,0,1
Bryan Steel,35,2004,8/29/04,Cycling,0,1,0,1
Jonny Clay,37,2000,10/1/00,Cycling,0,0,1,1
Chris Hoy,24,2000,10/1/00,Cycling,0,1,0,1
Craig MacLean,29,2000,10/1/00,Cycling,0,1,0,1
Paul Manning,25,2000,10/1/00,Cycling,0,0,1,1
Yvonne McGregor,39,2000,10/1/00,Cycling,0,0,1,1
Chris Newton,26,2000,10/1/00,Cycling,0,0,1,1
Bryan Steel,31,2000,10/1/00,Cycling,0,0,1,1
Bradley Wiggins,20,2000,10/1/00,Cycling,0,0,1,1
Debbie Knox,33,2002,2/24/02,Curling,1,0,0,1
Fiona MacDonald,27,2002,2/24/02,Curling,1,0,0,1
Rhona Martin,35,2002,2/24/02,Curling,1,0,0,1
Margaret Morton,34,2002,2/24/02,Curling,1,0,0,1
Janice Rankin,30,2002,2/24/02,Curling,1,0,0,1
Tim Baillie,33,2012,8/12/12,Canoeing,1,0,0,1
David Florence,29,2012,8/12/12,Canoeing,0,1,0,1
Liam Heath,27,2012,8/12/12,Canoeing,0,0,1,1
Richard Hounslow,30,2012,8/12/12,Canoeing,0,1,0,1
Ed McKeever,28,2012,8/12/12,Canoeing,1,0,0,1
Jon Schofield,27,2012,8/12/12,Canoeing,0,0,1,1
Etienne Stott,33,2012,8/12/12,Canoeing,1,0,0,1
David Florence,26,2008,8/24/08,Canoeing,0,1,0,1
Helen Reeves,23,2004,8/29/04,Canoeing,0,0,1,1
Campbell Walsh,26,2004,8/29/04,Canoeing,0,1,0,1
Ian Wynne,30,2004,8/29/04,Canoeing,0,0,1,1
Tim Brabants,23,2000,10/1/00,Canoeing,0,0,1,1
Paul Ratcliffe,26,2000,10/1/00,Canoeing,0,1,0,1
Nicola Adams,29,2012,8/12/12,Boxing,1,0,0,1
Luke Campbell,24,2012,8/12/12,Boxing,1,0,0,1
Fred Evans,21,2012,8/12/12,Boxing,0,1,0,1
Anthony Joshua,22,2012,8/12/12,Boxing,1,0,0,1
Anthony Ogogo,23,2012,8/12/12,Boxing,0,0,1,1
James DeGale,22,2008,8/24/08,Boxing,1,0,0,1
Tony Jeffries,23,2008,8/24/08,Boxing,0,0,1,1
David Price,25,2008,8/24/08,Boxing,0,0,1,1
Amir Khan,17,2004,8/29/04,Boxing,0,1,0,1
Audley Harrison,28,2000,10/1/00,Boxing,1,0,0,1
Gail Emms,27,2004,8/29/04,Badminton,0,1,0,1
Nathan Robertson,27,2004,8/29/04,Badminton,0,1,0,1
Simon Archer,27,2000,10/1/00,Badminton,0,0,1,1
Joanne Wright-Goode,27,2000,10/1/00,Badminton,0,0,1,1
Jessica Ennis,26,2012,8/12/12,Athletics,1,0,0,1
Robbie Grabarz,24,2012,8/12/12,Athletics,0,0,1,1
Christine Ohuruogu,28,2012,8/12/12,Athletics,0,1,0,1
Greg Rutherford,25,2012,8/12/12,Athletics,1,0,0,1
Tasha Danvers,30,2008,8/24/08,Athletics,0,0,1,1
Phillips Idowu,29,2008,8/24/08,Athletics,0,1,0,1
Germaine Mason,25,2008,8/24/08,Athletics,0,1,0,1
Christine Ohuruogu,24,2008,8/24/08,Athletics,1,0,0,1
Darren Campbell,30,2004,8/29/04,Athletics,1,0,0,1
Marlon Devonish,28,2004,8/29/04,Athletics,1,0,0,1
Jason Gardener,28,2004,8/29/04,Athletics,1,0,0,1
Mark Lewis-Francis,21,2004,8/29/04,Athletics,1,0,0,1
Kelly Sotherton,27,2004,8/29/04,Athletics,0,0,1,1
Steve Backley,31,2000,10/1/00,Athletics,0,1,0,1
Darren Campbell,27,2000,10/1/00,Athletics,0,1,0,1
Jonathan Edwards,34,2000,10/1/00,Athletics,1,0,0,1
Kelly Holmes,30,2000,10/1/00,Athletics,0,0,1,1
Denise Lewis,28,2000,10/1/00,Athletics,1,0,0,1
Katharine Merry,26,2000,10/1/00,Athletics,0,0,1,1
Alison Williamson,32,2004,8/29/04,Archery,0,0,1,1
