Roland Schoeman,24,2004,8/29/04,Swimming,1,1,1,3
Chad le Clos,20,2012,8/12/12,Swimming,1,1,0,2
Cameron van der Burgh,24,2012,8/12/12,Swimming,1,0,0,1
Lyndon Ferns,20,2004,8/29/04,Swimming,1,0,0,1
Ryk Neethling,26,2004,8/29/04,Swimming,1,0,0,1
Darian Townsend,19,2004,8/29/04,Swimming,1,0,0,1
Penny Heyns,25,2000,10/1/00,Swimming,0,0,1,1
Terence Parkin,20,2000,10/1/00,Swimming,0,1,0,1
Matthew Brittain,25,2012,8/12/12,Rowing,1,0,0,1
Sizwe Ndlovu,31,2012,8/12/12,Rowing,1,0,0,1
John Smith,22,2012,8/12/12,Rowing,1,0,0,1
James Thompson,25,2012,8/12/12,Rowing,1,0,0,1
Donnie Cech,30,2004,8/29/04,Rowing,0,0,1,1
Ramon di Clemente,29,2004,8/29/04,Rowing,0,0,1,1
Bridgitte Hartley,29,2012,8/12/12,Canoeing,0,0,1,1
Caster Semenya,21,2012,8/12/12,Athletics,0,1,0,1
Godfrey Khotso Mokoena,23,2008,8/24/08,Athletics,0,1,0,1
Mbulaeni Mulaudzi,23,2004,8/29/04,Athletics,0,1,0,1
Hestrie Storbeck-Cloete,26,2004,8/29/04,Athletics,0,1,0,1
Llewellyn Herbert,23,2000,10/1/00,Athletics,0,0,1,1
Frantz Kruger,25,2000,10/1/00,Athletics,0,0,1,1
Hestrie Storbeck-Cloete,22,2000,10/1/00,Athletics,0,1,0,1
